productid,title,category,price,rating
1,Fjallraven Backpack,men's clothing,109.95,3.9
2,Mens Casual Premium Slim Fit T-Shirts,men's clothing,22.30,4.1
3,Mens Cotton Jacket,men's clothing,55.99,4.7
4,Mens Casual Slim Fit,men's clothing,15.99,2.1
5,John Hardy Bracelet,jewelery,695.00,4.6
6,Solid Gold Petite Necklace,jewelery,168.00,3.9
7,White Gold Plated Princess Ring,jewelery,9.65,3.0
8,Pierced Owl Rose Gold Earrings,jewelery,10.99,1.9
9,WD 2TB External Hard Drive,electronics,64.00,3.3
10,SanDisk SSD 1TB,electronics,109.00,4.8
11,Silicon Power 256GB SSD,electronics,109.00,4.8
12,WD 4TB Gaming Drive,electronics,114.00,4.8
13,Acer Predator Monitor,electronics,999.99,2.9
14,Samsung 49-Inch Monitor,electronics,999.99,2.2
15,BIYLACLESEN Womens Jacket,women's clothing,56.99,2.6
16,Lock and Love Womens Jacket,women's clothing,29.95,2.9
17,Rain Jacket Women,women's clothing,39.99,3.8
18,MBJ Womens Solid Tank Top,women's clothing,9.85,4.7
19,Opna Womens Shirt,women's clothing,7.95,4.5
20,DANVOUY Womens T Shirt,women's clothing,12.99,3.6
